v1,w2
1,3732
2,4021
3,3003
4,3160
5,2996
6,2770
7,2677
8,3018
9,2925
10,2783
11,2702
12,2287
13,3008
14,1975
15,4910
16,3802
17,4297
18,3899
19,4085
20,4207
21,4362
22,4504
23,4811
24,4584
25,4723
26,5314
27,4576
28,5188
29,5157
30,5805
31,5102
32,3593
33,4739
34,4801
35,4879
36,4507
37,4564
38,4672
39,4471
40,3639
41,3395
42,3341
43,3216
44,4232
45,3294
46,3642
47,3296
48,3480
49,3361
50,3539
51,3255
52,3104
53,3179
54,3187
55,3206
56,3323
57,3107
58,3084
59,3134
60,2886
61,3040
62,3485
63,3082
64,3948
65,3851
66,2862
67,4202
68,5951
69,4318
70,4755
71,7038
72,4621
73,4819
74,4659
75,4576
76,5362
77,5080
78,5229
79,4436
80,5004
81,5744
82,5890
83,4919
84,4830
85,6259
86,3912
87,4529
88,4912
89,5034
90,5234
91,6303
92,4872
93,3659
94,4333
95,3769
96,4824
97,4371
98,3178
99,3598
100,4020
101,3844
102,3609
103,3754
104,3637
105,3632
106,3855
107,3594
108,3927
109,3796
110,4042
111,3992
112,4784
113,3578
114,3470
115,3868
116,4370
117,3755
118,4244
119,4311
120,5669
121,5364
122,4775
123,5935
124,5072
125,5025
126,4862
127,4893
128,6629
129,6544
130,5391
131,5512
132,5444
133,5865
134,5562
135,7520
136,2661
137,6946
138,6834
139,5823
140,5967
141,6344
142,5786
143,6110
144,3978
145,3671
146,3706
147,3965
148,3581
149,3710
150,3551
151,3431
152,3731
153,3247
154,3519
155,3707
156,3482
157,3248
158,3846
159,4154
160,3342
161,3481
162,3925
163,3639
164,3478
165,3297
166,3348
167,2981
168,3399
169,4958
170,2801
171,5444
172,4974
173,5461
174,4947
175,5367
176,5904
177,5023
178,6973
179,5602
180,5480
181,5497
182,6528
183,6874
184,6793
185,6087
186,6468
187,6253
188,7131
189,7834
190,6709
191,8083
192,7062
193,6671
194,6132
195,7113
196,6158
197,6390
198,6124
199,5666
200,4308
201,4872
202,4748
203,5301
204,4037
205,4528
206,4559
207,4582
208,5668
209,4141
210,4092
211,4116
212,3797
213,3978
214,4412
215,4042
216,4154
217,4035
218,2190
219,5172
220,4325
221,6172
222,1746
223,6422
224,6576
225,6688
226,6937
227,6760
228,5940
229,6674
230,7241
231,7671
232,7732
233,7951
234,8529
235,7614
236,8362
237,9051
238,7933
239,8453
240,8057
241,6214
242,6315
243,6934
244,6937
245,7190
246,7311
247,6937
248,4858
249,4833
250,4543
251,5036
252,3919
253,4291
254,4319
255,4276
256,3896
257,4407
258,4324
259,4204
260,4296
261,4127
262,4059
263,4348
264,3988
265,3937
266,4278
267,4003
268,3984
269,4150
270,4172
271,4186
272,4555
273,5789
274,6356
275,6637
276,6463
277,6466
278,6538
279,6746
280,7129
281,7332
282,7613
283,7763
284,7684
285,7977
286,10421
287,7001
288,9158
289,9507
290,9413
291,11780
292,2496
293,7621
294,8232
295,8162
296,7735
297,8141
298,7860
299,7957
300,5125
301,5511
302,4781
303,5320
304,3015
305,4866
306,4691
307,4387
308,4614
309,4122
310,4306
311,4483
312,4477
313,4575
314,4973
315,4584
316,4282
317,4580
318,5487
319,4298
320,4393
321,4533
322,4840
323,4078
324,4189
325,6264
326,3212
327,7362
328,8175
329,8532
330,7864
331,7741
332,7763
333,7854
334,8601
335,8663
336,9810
337,10300
338,10493
339,9707
340,10128
341,10374
342,9984
343,5916
344,5834
345,5629
346,5827
347,6145
348,6607
349,6897
350,7023
351,7283
352,5632
353,5147
354,4508
355,5036
356,4726
357,4772
358,4849
359,5028
360,4889
361,5510
362,5544
363,5536
364,4090
365,4631
366,4874
367,4768
368,4528
369,4586
370,4812
371,4903
372,5363
373,4668
374,5105
375,5151
376,5151
377,5120
378,7668
379,7172
380,8403
381,8671
382,8588
383,9055
384,8666
385,9317
386,9725
387,9671
388,9215
389,9771
390,9390
391,9259
392,9802
393,9305
394,9416
395,9262
396,9804
397,7983
398,8354
399,9689
400,9662
401,10061
402,10611
403,9930
404,9900
405,7736
406,7736
407,7469
408,7659
409,7315
410,7289
411,7407
412,8063
413,7444
414,6655
415,6748
416,6577
417,6455
418,6390
419,6660
420,6210
421,6248
422,6116
423,6317
424,6352
425,6258
426,6537
427,6695
428,6633
429,6261
430,7023
431,8043
432,8919
433,8715
434,8520
435,8929
436,8979
437,9579
438,9774
439,9185
440,9823
441,9823
442,9774
443,9700
444,10143
445,10190
446,9910
447,10681
448,5245
449,9264
450,9788
451,9436
452,9727
453,9088
454,8624
455,8099
456,8899
457,5783
458,6460
459,6372
460,5994
461,5750
462,6313
463,7018
464,6281
465,5538
466,6565
467,6542
468,6672
469,6721
470,7150
471,6818
472,6769
473,6755
474,6813
475,6891
476,6900
477,7004
478,6372
479,5761
480,6508
481,6436
482,6436
483,7012
484,7878
485,7932
486,7840
487,6894
488,6677
489,6231
490,5420
491,5403
492,5348
493,5643
494,7579
495,6798
496,8504
497,9852
498,8734
499,7879
500,9001
501,10108
502,10060
503,10760
504,12270
505,12867
506,12652
507,13305
508,11981
509,11319
510,10861
511,10611
512,9983
513,10797
514,11141
515,10470
516,10366
517,10483
518,10518
519,9979
520,9606
521,9725
522,10018
523,9627
524,9946
525,9632
526,9713
527,9463
528,9865
529,9754
530,9751
531,10190
532,10271
533,9915
534,9555
535,8753
